Transactions.Date,Transactions.Description Continued,Details,Moneyout,Moneyin,Balance
11Jan 13,BalanceB/F,,,,"3,000,000,000.00"
18Jan13,ReceivedfromIBMUK Jan.2010,Credit,,"1,000,000,000.00","4,000,000,000.00"
14Feb13,PaymenttoNatwestMtgePayt Ref:001587905,Debit,"300,000,000.00",,"3,700,000,000.00"
28Feb13,PaymenttoUKprovidentFundby Draft,Debit,"200,000,000.00",,"3,500,000,000.00"
05Mar13,DirectDebitHSBCUK,Debit,"1,000,000,000.00",,"2,500,000,000.00"
21Mar13,ReceivedfromMicrosoftUK Account504x0649,Credit,,"300,000,000.00","2,800,000,000.00"
29Mar13,TransferfromSortCode20-10-53,Credit,,"500,000,000.00","3,300,000,000.00"
08May13,PaymenttoExxonMobil Unlimited,Debit,"100,000,000.00",,"3,200,000,000.00"
15May13,ReceivedfromBritishPetroleum,Credit,,"55,000,000.00","3,255,000,000.00"
29May13,PaymenttoBoardofInternal,Debit,"5,000,000.00",,"3,250,000,000.00"
02July13,DirectDebit HSBCChina,Debit,"10,000,000.00",,"3.240,000,000.00"
20Aug 13,ReceivedfromShell BP,Credit,,"40,000,000.00","3.280,000,000.00"
13Sept13,DrawnonChoNo.448960,Debit,"280,000,000.00",,"3,000,000,000.00"
090ct13,TransferfromHSBCDubai,Credit,,"100,000,000.00","3,100,000,000.00"
07Feb14,ClosingBalance,,,,"3,100,000,000.00"
