,Mini Statement,
01-JAN-2018 MAA0000860 BYTRANSFERINB IMPS800117398347/9494821060/XX6549/fiveth0us,"5,000.00 (Cr)",
31-DEC-2017,47.20 (Dr),
Monthly Ave-Bal No,Monthly Ave-Bal No,Monthly Ave-Bal No
25-DEC-2017,2.00 (Cr),
CREDITINTEREST,CREDITINTEREST,CREDITINTEREST
30-NOV-2017,47.20 (Dr),
MonthlyAve-BalNo,MonthlyAve-BalNo,MonthlyAve-BalNo
31-OCT-2017,47.20 (Dr),
Monthly Ave-Bal No,Monthly Ave-Bal No,Monthly Ave-Bal No
30-SEP-2017,88.50 (Dr),
MonthlyAve-BalNo,MonthlyAve-BalNo,MonthlyAve-BalNo
25-SEP-2017,5.00 (Cr),
CREDITINTEREST,CREDITINTEREST,CREDITINTEREST
31-AUG-2017,88.50 (Dr),
MonthlyAve-BalNo,MonthlyAve-BalNo,MonthlyAve-BalNo
29-AUG-2017,23.60 (Dr),
TOTRANSFERINSUFBALATMDECLINECHARGE-220817,TOTRANSFERINSUFBALATMDECLINECHARGE-220817,TOTRANSFERINSUFBALATMDECLINECHARGE-220817
27-AUG-2017,23.60 (Dr),
TOTRANSFERINSUFBALATMDECLINECHARGE-220817,TOTRANSFERINSUFBALATMDECLINECHARGE-220817,TOTRANSFERINSUFBALATMDECLINECHARGE-220817
